study_id,cmoc_id,source_e_code,predicate,target_e_code,evidence_quote
S001,S001_CMOC1,E15,PROVIDES,E19,"the teacher explaining the reasoning processes used including hypothesising, hypothesis testing, re-analysis and differential diagnosis."
S001,S001_CMOC1,E19,TRIGGERS,E27,this is to assist the student to understand what the clinician was thinking and how they were reasoning.
S001,S001_CMOC1,E27,LEADS_TO,E25,improving time to diagnosis.
S001,S001_CMOC2,E10,PROVIDES,E19,"this approach used with a single student would remain beneficial, even potentially enhanced."
S001,S001_CMOC2,E19,TRIGGERS,E26,students having a basic understanding of the theoretical concepts behind clinical reasoning to improve understanding.
S001,S001_CMOC2,E26,LEADS_TO,E22,improving patient satisfaction and being branded with the ‘good doctor’ label.
S001,S001_CMOC3,E14,CONSTRAINS,E19,"if the student’s reasoning is unclear, the clinical teacher can interject with questions."
S001,S001_CMOC3,E19,TRIGGERS,E45,students can find it challenging to know how to navigate the information during a patient interaction.
S001,S001_CMOC3,E45,LEADS_TO,E38,a diagnosis that could have been made with a careful history and physical examination may end up taking two or three consultations.
S002,S002_CMOC1,E18,PROVIDES,E19,the relative reliance on analytic and similarity-based processes is amenable to instruction.
S002,S002_CMOC1,E19,TRIGGERS,E39,the reliance of these 2 processes was indexed by the performance of 12 preclinical medical students.
S002,S002_CMOC1,E39,LEADS_TO,E46,students enhanced their performance by adopting a similarity-based strategy.
S002,S002_CMOC2,E18,PROVIDES,E19,the relative reliance on analytic and similarity-based processes is amenable to instruction.
S002,S002_CMOC2,E19,TRIGGERS,E24,the reliance of these 2 processes was indexed by the performance of residents.
S002,S002_CMOC2,E24,LEADS_TO,E25,residents enhanced their performance by adopting an analytic strategy.
S003,S003_CMOC1,E07,PROVIDES,E19,the doctor explains his or her reflections and discusses suggestions from the audience for additional questions
S003,S003_CMOC1,E19,TRIGGERS,E39,the interaction between doctor and patient is analyzed in such a way that the repeated cycles of questions and answers are revealed to the students
S003,S003_CMOC1,E39,LEADS_TO,E22,students' evaluations of the relevance of CRT reveal that they appreciate CRT
S003,S003_CMOC2,E10,PROVIDES,E19,demonstrate the process of clinical reasoning to students through the conversation of a doctor with his or her patient
S003,S003_CMOC2,E19,TRIGGERS,E26,the doctor's clinical reasoning skills are modeled in CRT
S003,S003_CMOC2,E26,LEADS_TO,E28,students appreciate CRT
S004,S004_CMOC1,E18,PROVIDES,E19,the groups instructed to use both strategies (explicitly or implicitly) performed significantly better.
S004,S004_CMOC1,E19,TRIGGERS,E27,instructions to be feature oriented and to trust similarity improve performance.
S004,S004_CMOC1,E27,LEADS_TO,E46,"performed significantly better (56% and 53%, respectively; p < .01)."
S004,S004_CMOC2,E08,PROVIDES,E19,No difference in diagnostic accuracy was observed between the groups given the feature first (42%) and first impression (41%) instructions.
S004,S004_CMOC2,E19,TRIGGERS,E45,the groups instructed to use both strategies (explicitly or implicitly) performed significantly better.
S004,S004_CMOC2,E45,LEADS_TO,E36,No difference in diagnostic accuracy was observed between the groups.
S005,S005_CMOC1,E18,PROVIDES,E19,the instruction to utilise a combined reasoning approach resulted in greater diagnostic accuracy.
S005,S005_CMOC1,E19,TRIGGERS,E27,explicit guidance regarding the value of both analytic and non-analytic reasoning tendencies.
S005,S005_CMOC1,E27,LEADS_TO,E25,explicitly telling novice diagnosticians to utilise multiple forms of reasoning can result in improved diagnostic accuracy.
S005,S005_CMOC2,E14,CONSTRAINS,E19,participants in the no-instruction condition would have been influenced by similarity when making their diagnostic decisions.
S005,S005_CMOC2,E19,TRIGGERS,E45,the instruction to utilise a combined reasoning approach resulted in greater diagnostic accuracy.
S005,S005_CMOC2,E45,LEADS_TO,E36,participants in the no-instruction condition did not perform as successfully.
S006,S006_CMOC1,E18,PROVIDES,E19,participants were instructed to carefully identify all features while trusting guidance provided by feelings of familiarity.
S006,S006_CMOC1,E19,TRIGGERS,E27,the combined reasoning strategy was operationalised.
S006,S006_CMOC1,E27,LEADS_TO,E25,Greater diagnostic accuracy was achieved following both contrastive learning and instructions to use a combined reasoning strategy.
S006,S006_CMOC2,E09,PROVIDES,E19,the need to assess such a comparison provided the first objective of this study.
S006,S006_CMOC2,E19,TRIGGERS,E26,the provision of explicit and concrete instructions regarding how to do so appears to be beneficial.
S006,S006_CMOC2,E26,LEADS_TO,E22,the conclusion that contrastive learning and combined reasoning instructions hold pedagogical value.
S007,S007_CMOC1,E09,PROVIDES,E19,the acquisition of diagnostic knowledge is mainly supported by providing erroneous examples in combination with elaborated feedback.
S007,S007_CMOC1,E19,TRIGGERS,E27,learners must identify the error and understand the correct solution by systematically comparing the incorrect solution with the correct one.
S007,S007_CMOC1,E27,LEADS_TO,E46,the effects of the learning environment proved sustainable.
S007,S007_CMOC2,E14,CONSTRAINS,E19,"When only KCR feedback is given, erroneous examples are detrimental."
S007,S007_CMOC2,E19,TRIGGERS,E45,the information deﬁcit in the conditions with KCR feedback... must be compensated for by effective self-explanation.
S007,S007_CMOC2,E45,LEADS_TO,E36,the unfavourable effect of erroneous examples in combination with KCR feedback on knowledge acquisition replicates findings.
S008,S008_CMOC1,E18,PROVIDES,E19,Curricular instruction incorporated analytic and nonanalytic clinical reasoning models.
S008,S008_CMOC1,E19,TRIGGERS,E27,Practice with variable case scenarios enhanced students application of basic science knowledge to clinical problem solving.
S008,S008_CMOC1,E27,LEADS_TO,E46,Students clinical reasoning showed a significant gain after the Integrated Cases Section on a script concordance test.
S008,S008_CMOC2,E10,PROVIDES,E19,Practice with variable case scenarios enhanced students application of basic science knowledge to clinical problem solving.
S008,S008_CMOC2,E19,TRIGGERS,E26,Curricular instruction incorporated analytic and nonanalytic clinical reasoning models.
S008,S008_CMOC2,E26,LEADS_TO,E22,Students clinical reasoning showed a significant gain after the Integrated Cases Section on a script concordance test.
S009,S009_CMOC1,E18,PROVIDES,E19,querying an initial diagnostic hypothesis
S009,S009_CMOC1,E19,TRIGGERS,E27,the same primary data presented to both groups
S009,S009_CMOC1,E27,LEADS_TO,E46,allows students to rectify an incorrect diagnosis
S009,S009_CMOC2,E14,CONSTRAINS,E19,no difference existed in the accuracy of initial and final diagnoses
S009,S009_CMOC2,E19,TRIGGERS,E45,the same primary data presented to both groups
S009,S009_CMOC2,E45,LEADS_TO,E36,initial diagnoses were retained only 23.3% of the time
S010,S010_CMOC1,E15,PROVIDES,E19,the educational tool provides explicit explanations of diagnostic reasoning.
S010,S010_CMOC1,E19,TRIGGERS,E27,the tool includes multiple resources for understanding laboratory data.
S010,S010_CMOC1,E27,LEADS_TO,E46,students demonstrated improved diagnostic accuracy after using the tool.
S010,S010_CMOC2,E14,CONSTRAINS,E19,students received minimal feedback during the learning process.
S010,S010_CMOC2,E19,TRIGGERS,E45,the tool provided various resources but lacked effective feedback.
S010,S010_CMOC2,E45,LEADS_TO,E36,students struggled to develop coherent illness scripts.
S011,S011_CMOC1,E07,PROVIDES,E19,the tutors made each step explicit to students and encouraged self-reflection on their reasoning processes
S011,S011_CMOC1,E19,TRIGGERS,E27,bringing them explicit insight into cognitive aspects of their reasoning
S011,S011_CMOC1,E27,LEADS_TO,E44,improved aspects of diagnostic competence
S011,S011_CMOC2,E14,CONSTRAINS,E19,the overall differences in accuracy of the final diagnosis given to the patient at the end of the encounter were not statistically significant
S011,S011_CMOC2,E19,CONSTRAINS,E45,students in the control group had lower accuracy in diagnosis
S011,S011_CMOC2,E45,LEADS_TO,E36,the overall differences in accuracy of the final diagnosis given to the patient at the end of the encounter were not statistically significant
S012,S012_CMOC1,E10,PROVIDES,E19,VP cases can be tailored using decision-making software to give students experience of primary care specific clinical reasoning skills.
S012,S012_CMOC1,E19,TRIGGERS,E27,genuine patient video clips can be collected and integrated into decision-making software.
S012,S012_CMOC1,E27,LEADS_TO,E22,students found the scenarios useful for developing consulting skills.
