study_id,cmoc_id,evidence_level,model_pts,model_polarity,model_context_code,model_context_text,model_intervention_code,model_intervention_text,model_mechanism_code,model_mechanism_text,model_outcome_code,model_outcome_text,model_relationship_triples,evidence_quote,human_corrected_context,human_corrected_intervention,human_corrected_mechanism,human_corrected_outcome,human_corrected_triples,human_corrected_pts,decision_status,error_category,reviewer_notes
S001,S001_CMOC1,Full-text,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E15,explicit and clear explanation of expert's reasoning,E27,build understanding,E25,high diagnostic accuracy,E15-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,"novice learners, such as medical students, have limited clinical experience and therefore need to approach most consultations in a more analytical way....",,,,,,,PENDING,,
S001,S001_CMOC2,Full-text,PTS3,Positive,E04,positive student coping strategies or appropriate level of self-confidence or self-efficacy,E10,"real-life scenarios, including simulation and simulated patients",E26,grateful for the learning experience,E22,positive learning experience,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,the idea of a ‘coach’ to assist the student during an evolving consultation is highlighted as essential....,,,,,,,PENDING,,
S001,S001_CMOC3,Full-text,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E38,negative learning outcomes,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E38,students can find it challenging to know how to navigate the information during a patient interaction....,,,,,,,PENDING,,
S002,S002_CMOC1,Abstract Only,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E39,build upon what they already know,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E39; E39-[LEADS_TO]->E46,preclinical medical students enhanced their performance by adopting a similarity-based strategy....,,,,,,,PENDING,,
S002,S002_CMOC2,Abstract Only,PTS2,Positive,E03,students with high clinical domain-specific knowledge,E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E24,rely on non-analytical reasoning,E25,high diagnostic accuracy,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E24; E24-[LEADS_TO]->E25,residents enhanced their performance by adopting an analytic strategy....,,,,,,,PENDING,,
S003,S003_CMOC1,Abstract Only,PTS5,Positive,E06,students with different levels of knowledge within a group,E07,an expert's reasoning processes or thoughts are explicitly revealed and discussed,E39,build upon what they already know,E22,positive learning experience,E07-[PROVIDES]->E19; E19-[TRIGGERS]->E39; E39-[LEADS_TO]->E22,"students as the audience, the doctor's clinical reasoning skills are modeled in CRT...",,,,,,,PENDING,,
S003,S003_CMOC2,Abstract Only,PTS3,Positive,E04,positive student coping strategies or appropriate level of self-confidence or self-efficacy,E10,"real-life scenarios, including simulation and simulated patients",E26,grateful for the learning experience,E28,positive impact on learning,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E28,students appreciate CRT...,,,,,,,PENDING,,
S004,S004_CMOC1,Abstract Only,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,48 undergraduate psychology students from McMaster University... were taught to diagnose ten cardiac disorders....,,,,,,,PENDING,,
S004,S004_CMOC2,Abstract Only,PTS1,Negative,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E08,instructed to use analytical reasoning alone,E45,confusion,E36,poor illness script development,E08-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,48 undergraduate psychology students from McMaster University... were taught to diagnose ten cardiac disorders....,,,,,,,PENDING,,
S005,S005_CMOC1,Full-text,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E25,high diagnostic accuracy,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,Undergraduate psychology students were trained to diagnose 10 cardiac conditions via ECG presentation....,,,,,,,PENDING,,
S005,S005_CMOC2,Full-text,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,participants in the no-instruction condition would have been influenced by similarity when making their diagnostic decisions....,,,,,,,PENDING,,
